1623400186.49,  38.11 
1623400191.54,  38.02 
1623400197.06,  37.94 
1623400201.5,  37.91 
1623400206.79,  37.91 
1623400211.7,  37.89 
1623400216.61,  37.86 
1623400221.82,  37.85 
1623400226.74,  37.82 
1623400231.65,  37.84 
1623400236.54,  37.86 
1623400241.74,  37.89 
1623400246.55,  37.89 
1623400251.7,  37.91 
1623400256.62,  37.96 
1623400261.57,  37.98 
1623400266.75,  38.09 
1623400271.66,  38.21 
1623400276.88,  38.29 
1623400281.79,  38.33 
1623400286.71,  38.26 
1623400291.62,  38.17 
1623400296.61,  38.22 
1623400301.75,  38.06 
1623400306.64,  38.03 
1623400311.91,  38.04 
1623400316.79,  38.03 
1623400321.63,  38.01 
1623400326.92,  38.02 
1623400331.84,  38.05 
1623400336.65,  38.09 
1623400341.66,  38.03 
1623400346.66,  37.95 
1623400351.89,  37.89 
1623400356.67,  37.87 
1623400361.88,  38.06 
1623400366.73,  38.20 
1623400371.95,  38.26 
1623400376.86,  38.20 
1623400381.7,  38.09 
1623400386.99,  37.96 
1623400391.9,  37.82 
1623400396.92,  37.75 
1623400401.88,  37.70 
1623400406.74,  37.68 
1623400411.96,  37.72 
1623400416.75,  37.83 
1623400421.79,  37.79 
1623400426.77,  37.74 
1623400431.76,  37.77 
1623400436.76,  37.84 
1623400441.77,  37.78 
1623400446.96,  37.72 
1623400451.87,  37.66 
1623400457.09,  37.67 
1623400462.3,  37.71 
1623400466.91,  37.76 
1623400471.8,  37.77 
1623400476.81,  37.81 
1623400481.93,  37.86 
1623400486.87,  37.80 
1623400492.08,  37.82 
1623400497.0,  37.84 
1623400501.83,  37.92 
1623400507.13,  37.97 
1623400512.04,  37.94 
1623400516.95,  38.02 
1623400521.86,  37.94 
1623400526.88,  37.91 
1623400532.03,  37.85 
1623400536.87,  37.85 
1623400542.06,  37.80 
1623400547.14,  37.88 
1623400552.05,  37.83 
1623400556.97,  37.80 
1623400561.9,  37.72 
1623400567.09,  37.71 
1623400572.01,  37.71 
1623400577.23,  37.74 
1623400581.92,  37.73 
1623400587.06,  37.69 
1623400591.96,  37.72 
1623400596.94,  37.72 
1623400602.23,  37.61 
1623400607.01,  37.55 
1623400612.23,  37.53 
1623400617.14,  37.56 
1623400621.96,  37.53 
1623400627.27,  37.46 
1623400631.98,  37.43 
1623400636.98,  37.42 
1623400642.0,  37.39 
1623400646.99,  37.37 
1623400652.0,  37.37 
1623400657.0,  37.34 
1623400662.23,  37.33 
1623400667.18,  37.33 
1623400672.02,  37.44 
1623400677.1,  37.46 
1623400682.03,  37.51 
1623400687.13,  37.52 
1623400692.05,  37.55 
1623400697.05,  37.53 
1623400702.05,  37.44 
1623400707.06,  37.40 
1623400712.2,  37.40 
1623400717.07,  37.37 
1623400722.24,  37.37 
1623400727.35,  37.36 
1623400732.26,  37.40 
1623400737.09,  37.38 
1623400742.1,  37.36 
1623400747.31,  37.38 
1623400752.22,  37.37 
1623400757.13,  37.35 
1623400762.35,  37.33 
1623400767.26,  37.30 
1623400772.2,  37.29 
1623400777.14,  37.26 
1623400782.41,  37.25 
1623400787.21,  37.24 
1623400792.44,  37.25 
1623400797.35,  37.28 
1623400802.16,  37.32 
1623400807.48,  37.33 
1623400812.19,  37.32 
1623400817.18,  37.28 
1623400822.22,  37.31 
1623400827.19,  37.32 
1623400832.28,  37.29 
1623400837.2,  37.27 
1623400842.41,  37.27 
1623400847.39,  37.30 
1623400852.34,  37.26 
1623400857.22,  37.27 
1623400862.23,  37.25 
1623400867.24,  37.20 
1623400872.24,  37.21 
1623400877.47,  37.24 
1623400882.39,  37.29 
1623400887.3,  37.25 
1623400892.29,  37.29 
1623400897.27,  37.31 
1623400902.41,  37.32 
1623400907.28,  37.32 
1623400912.29,  37.39 
1623400917.29,  37.43 
1623400922.3,  37.42 
1623400927.42,  37.44 
1623400932.33,  37.34 
1623400937.34,  37.31 
1623400942.36,  37.31 
1623400947.49,  37.35 
1623400952.41,  37.34 
1623400957.33,  37.33 
1623400962.57,  37.28 
1623400967.64,  37.24 
1623400972.35,  37.29 
1623400977.36,  37.24 
1623400982.36,  37.16 
1623400987.59,  37.11 
1623400992.81,  37.06 
1623400997.41,  37.04 
1623401002.63,  37.08 
1623401007.54,  37.08 
1623401012.42,  37.08 
1623401017.4,  37.08 
1623401022.59,  37.14 
1623401027.5,  37.23 
1623401032.42,  37.20 
1623401037.42,  37.16 
1623401042.43,  37.18 
1623401047.45,  37.17 
1623401052.44,  37.21 
1623401057.5,  37.18 
1623401062.45,  37.12 
1623401067.46,  37.16 
